ID	Name	Description	Synonyms
T1043	Forensic image format decoding	The decoding of a forensic format such as EWF such that the raw sectors can be accessed by a forensic tool (typically performed on-the-fly internally in a tool.)	[]
T1044	Mobile backup decoding		[]
T1045	Decode standard archive format	Extract files from a common archive format e.g. TAR, RAR, ZIP	[]
T1046	Privileged material protection		[]
T1047	Hash matching (reduce)		[]
T1048	Privacy protection via partial processing		[]
T1049	Keyword searching	This technique involves searching data in the case for specific strings	['string search']
T1050	Hash matching (locate)		[]
T1051	Fuzzy hash matching		[]
T1052	Timeline generation	The extraction and normalisation of timestamps from a data source into a set of timeline entries	['timelining']
T1053	Entity extraction		[]
T1054	Manual content review for relevant material		[]
T1055	File system content inspection		[]
T1056	Entity connection enumeration		[]
T1057	Search for indicators of steganography	Searching for the presence of current or historical steganography software on a system	[]
T1058	Search for mismatched file extensions		[]
T1059	Identify partitions	Partitions are defined as ‘allocated contiguous sets of sectors from storage media’. This involves recovering the list of partitons that exist on a storage media.	['media management analysis']
T1060	Process file system structures	This involves parsing the live file system data structures and reconstructing the file system of the target media or device.	[]
T1061	Non-allocated file recovery	The recovery of files from non-allocated space using residual file system structures.	['Deleted file recovery']
T1062	Decryption of encrypted file systems/volumes		[]
T1063	Identify file types	Applying a process that identifies the types of files.	[]
T1064	File carving		[]
T1065	Content indexer examination (OS)	Examine information from operating system artefacts relating to content indexing and search capabilities e.g. Windows Desktop Search	[]
T1066	Log file examination (OS)		[]
T1067	Cloud synchronisation feature examination (OS)		[]
T1068	Recently used file identification (OS)		[]
T1069	Browser examination	Recovery of information left from web browsing activity (derived from Oh et al (2011))	[]
T1070	Email examination		[]
T1071	Database examination	Examination of a database file(s) to extract information from within	['database forensics']
T1072	Chat app examination	Analysis of the files that provide the backing store for a chat or messenger application	['Messenger app analysis']
T1073	Calendar app examination		[]
T1074	Social network app examination		[]
T1075	Maps/travel app examination		[]
T1077	Photos app examination		[]
T1078	Cloud sync app examination		[]
T1079	Audio content analysis		[]
T1080	Video content analysis		[]
T1081	Image content analysis		[]
T1082	Document content analysis		[]
T1083	Memory examination (OS-level)		[]
T1084	Extraction of user accounts		[]
T1085	Identify conflation		[]
T1086	Timeline analysis	The process of moving from a set of timeline entries to reconstructed events, or to identify times of interest (adapted from Breitinger et al. 2025).	['Temporal Analysis']
T1087	Location-based event reconstruction	The process of assigning location properties to a reconstructed event	[]
T1088	Connection-based event reconstruction	The process of assigning connection properties to a reconstructed event	['Relational analysis']
T1089	Source code review		[]
T1090	Experimentation		[]
T1091	Bookmark artifacts	Make a record of selected files or pieces of data so they can be accessed easily, or used for generating automated reports.	['Bookmarking', 'Tagging']
T1092	Produce bookmark-based automated report	Generate a report in PDF, HTML or other format that compiles bookmarked items from a case into a package that can be reviewed.	[]
T1093	Write expert report		[]
T1094	Disclosure		[]
T1095	Instrumentation		[]
T1096	Run programs identification (OS)	Extraction and analysis of information that allows programs that have been run on an OS to be identified.	[]
T1097	Installed programs identification (OS)	Extraction and analysis of information that allows programs installed on an OS to be identified.	[]
T1098	User account analysis (OS)	Examination of information related to user account creation and logins	[]
T1099	File repair with grafting	Repair file by grafting different reference data onto fragment(s)	[]
T1100	EXIF data extraction		[]
T1101	Cell site survey	Taking measurements to assess which cells actually provide service at a specific location (adapted from Tart et al 2012).	[]
T1102	Decode data from image from unmanaged NAND		[]
T1103	Virtualise suspect system for previewing	A suspect disk image can be configured to boot as a virtual machine, which allows screenshots to be taken showing how the user's destktop looked for example.	[]
T1104	Collect data using open source intelligence		[]
T1105	Memory examination (application-level)		[]
T1106	Deep fake detection (video)		[]
T1107	Health/Fitness app examination		[]
T1108	Reminders app examination		[]
T1109	Payment app examination		[]
T1110	Preserving reference data		[]
T1111	Recording system clock offset	Recording a system clock compared with trusted time source	[]
T1112	Physical disk identification and removal	Identifying physical storage media within devices and removing them	[]
T1113	Access internal storage via bootable environment	Booting the suspected computer device into forensically-sound bootable software-write blocked operating system in order to image the disks.	[]
T1114	Memory Acquisition via Cold Boot Attack	Extracting volatile memory (RAM) from a powered-off system by quickly rebooting or transferring the memory module to another system before residual data fades. Cooling the memory modules can significantly slow down data decay, preserving critical data such as encryption keys or passwords.	['Cold Boot Attack', 'Extracting RAM data using Cold Boot Attack']
T1115	Visualisation of geolocation information	Presenting points or paths visually using extracted data, typically on a map	[]
T1116	Determine connected devices	Examine artefacts and extract indicators of devices that have been connected to the target device.	[]
T1117	Time-based event reconstruction	The process of assigning a time component to a reconstructed event	[]
T1118	Locate relevant files by path	Use the path of file name to determine potential relevance of artefact	[]
T1119	Automatically scan for artifact changes caused by app updates	Monitor every version change of an application to determine if there are changes to the way the app stores data	['App update monitoring']
T1120	Automated artifact extraction	The use of automation to extract pieces of data that are potentially useful for a digital forensic investigation	['Automated trace extraction']
T1121	Keyword indexing	Extracting strings from a data source and adding them to an index for subsequent searching	[]
T1122	Keyword search (case-type wordlists)	Searching for case-type specific keywords	[]
T1123	Keyword search (case-specific wordlists)	Searching for case-specific keywords, e.g. people's names, places etc.	[]
T1124	Keyword search (indexed)	Searching for keywords within a generated index of data in a case	['indexed search']
T1125	Keyword search (live)	Searching for keywords over the raw data in a case without using an index of text content	['live search']
T1126	Keyword search (live) (physical)	Searching for keywords over the raw data on a sector by sector basis	['live search']
T1127	Keyword search (live) (logical)	Searching for keywords over the raw data, without an index of text content, but on a file by file basis	['live search']
T1128	Search for indicators of malware	Searching for the presence of current or historical malware on a system	['virus scan', 'malware scan']
T1129	Search for indicators of clock tampering	Searching for indicators that the system clock has been tampered with	[]
T1130	Search for indicators of encrypted data	Searching for the presence of current or historical encrypted data on a system	[]
T1131	Search for indicators of trail obfuscation	Searching for the presence of current or historical trail obfuscation on a system	[]
T1132	Search for indicators of artifact wiping	Searching for the presence of current or historical artifact wiping	['artifact scrubbing']
T1133	AI companion app examination	The forensic examination of the artifacts describing the configuration or the interaction with an AI companion app or service.	[]
