ID	Name	INCOMP	INAC-EX	INAC-AS	INAC-ALT	INAC-COR	MISINT
W1092	Recovering a deleted message with incorrect metadata				X		
W1093	Presenting a deleted message as live			X			X
W1094	Attributing a message to the incorrect sender			X			
W1095	Attributing a message to the incorrect thread			X			
W1096	Failing to recover attachments for a live message	X					
W1097	Failing to recover attachment for a deleted message	X					
W1098	Assigning incorrect metadata to a message attachment			X			
W1099	Assigning an attachment to an incorrect messages			X			
W1100	Failure to display special effects or highlight within a message	X					
W1101	Failure to recover message edits if available	X					
W1102	Failure to display that a message had a previous state	X					X
W1103	Failure to carve salvageable content	X					
W1104	Incorrect carving of a complete file				X	X	
W1105	Incorrect reassembly of a file				X	X	
W1106	Incorrect attribution of salvaged content to a current file system rather than a previous one			X			X
W1107	Failure to repair a content fragment	X				X	
W1108	Failure to recover history resulting from private browsing	X					
W1109	Incorrect recovery of information regarding a web visit from allocated data			X	X		X
W1110	Failure to recover browser history from live data	X					
W1111	Incorrect recovery of information regarding a web visit from non-allocated data			X	X		X
W1112	Failure to recover browser history from non-allocated data	X					
W1113	Misinterpretation a URL located on disk/memory as a web visit			X			X
W1114	Failure to locate a relevant device at a physical crime scene	X					
W1115	Device is remote wiped because faraday environment was insufficient.	X				X	
W1116	Last wifi connection is overwritten because faraday environment was insufficient.	X				X	
W1117	Calls, messages or other data was received and overwrote relevant data because faraday environment was insufficient.	X				X	
W1118	Hardware write blocker fails to prevent modifications to the attached device.					X	
W1119	Hardware write blocker hides the existence of an HPA.	X					
W1120	Hardware write blocker hides the existence of an DCO.	X					
W1121	Image format parsing fails to to present all blocks from within a forensic container image in their ‘flat’ (dd) representation	X					
W1122	Image format parsing presents incorrect data within sectors of the image				X		
W1123	Image format parsing presents incorrect forensic image metadata				X		
W1124	Failure to compute hash correctly: this could result in a message indicating corrupt evidence, thus stopping or delaying further investigation			X			
W1125	Failure to validate hash properly: this could allow errors from earlier to propagate e.g. incorrect sectors					X	
W1126	Failure to validate hash properly allowing an incomplete disk image to present as validated	X					
W1127	Failure to validate metadata: this could allow details such as acquisition date to be changed					X	
W1128	Image replaced with tampered version along with updated stored hash					X	
W1129	File type is incorrectly identified			X			
W1130	Missing assignment of a file type: reporting a file as unknown when it has a known type within the digital forensic science body of knowledge 			X			
W1131	Missing recognition of multiple file types: reporting a file as a limited set of types, or a single type, when it can be interpreted as having more than one, such as a GIF and Java Jar	X		X			
W1132	Incorrectly computing the hash of one or more files within a disk image due to incorrect hash algorithm implementation			X	X		
W1133	Tool fails to express uncertainty in the classification of file recovery results, e.g., where content may be partly overwritten.						X
W1134	File metadata and name of a non-allocated file are recovered, but the content is fragmented/overwritten, but is still presented as the content of the recovered file			X			X
W1135	File metadata and name of a non-allocated file are recovered, but its content has been overwritten by a newer file, but the non-allocated file's content is presented as this newer file's data			X			X
W1136	Not recovering data from a failed hard drive	x					
W1137	Failing to determine password as it is not in the dictionary used	X					
W1138	Failing to identify password in the time available	X					
W1139	System locks after X failed dictionary attempts				X	X	
W1140	Failing to determine password as it is not in the search space	X					
W1141	Failing to determine password via brute force in the time available	X					
W1142	System locks after X failed brute force attempts				X	X	
W1143	Acquisition method does not read remapped sectors e.g. G-Lists	x					
W1144	Failure to identify timestamps in a data source	x					
W1145	Failure to extract timestamps from a data source	x					
W1146	Failure to consider non-timestamp based timing information	x					
W1147	Failure to normalise timestamps correctly during timeline generation		x		x		
W1148	Incorrect time skew applied to a timeline entry		x		x		
W1149	Failure to determine clock accuracy at time of inferred event		x				x
W1150	Misinterpreting events from automated processes as user generated ones		x				x
W1151	Incorrectly decoding a timestamp from a data source				x		
W1152	Generated report does not include all bookmarks	x					
W1153	Report generated from bookmarks does not render all content (e.g. previews, string extracts) correctly	x			x		
W1154	Report generated from bookmarks stored in manner that does not prevent tampering or corruption					x	
W1155	Bookmark added by examiner is not recorded	x					
W1156	Bookmark added by examiner is is recorded with incorrect tag/label/category			x			
W1157	Use of mobile exploit changes/overwrites data that was relevant to the investigation	X			X		
W1158	Use of mobile exploit renders device unusable or 'bricked'	X					
W1159	Presenting a mobile file system acquisition as a bitwise copy of the device						X
W1160	Failure to copy relevant files from the mobile device	X					
W1161	Lack of privileges for file system acquisition	X					
W1162	Changing relevant files during file system acquisition	X			X		
W1163	Changing relevant file metadata during file system acquisition	X			X		
W1164	Files are still encrypted using file-based encryption so inaccessible	X					
W1165	Failure to preserve original timestamps from the data source in an archive	X			X		X
W1166	Consideration of live database content only	X					
W1167	Combining data from multiple tables that should not be joined			X	X		X
W1168	Data extracted from a table is assigned an incorrect interpretation				X		X
W1169	Reliance on a field for historical reconstruction that is subject to updates and preserves only a single value			X	X		X
W1170	Failure to recover data stored in Write Ahead Log (WAL) files	X					
W1171	Failure to recover data stored in database journal files	X					
W1172	Relevant reference data missed as its necessity was not known at time of preservation	X	X	X			
W1173	Trusted time source is incorrect				X		
W1174	Failure to find internal attached storage media	X					
W1175	Failure to find internal unattached storage media	X					
W1176	Unable to physically remove/detach internal storage media	X					
W1177	Failing to boot from intended forensic bootable environment, causing the normal system boot process to commence				X	X	
W1178	Inability to load the forensic bootable environment due to system configuration	X					
W1179	Failure to detect internal disk from bootable environment	X					
W1180	Failing to decrypt internal disk using the bootable environment	X					
W1181	Failure to decrypt internal disk using a bootable environment	X					
W1182	Bootable environment overwrites relevant data on the target device	X				X	
W1183	Failure to identify the existence of a connected device	X					
W1184	Presenting devices 'seen' as devices connected		X	X			X
W1185	Failure to enumerate all files in a standard archive format	X					
W1186	Missing files with file name/path-based pattern matching due to renaming	X					
W1187	Failure to match file name/path pattern due to mismatch of search term used and pattern match engine.	X					
W1188	Failure to match file name/path pattern due to implementation error in matching engine.	X					
